1578925074.0807	0.01	0.00	-0.01	-0.01
1578925074.0833	-0.01	0.00	-0.01	-0.01
1578925074.0858	-0.01	-0.01	-0.01	-0.01
1578925074.0872	-0.06	-0.01	
1578925074.0893	-0.01	0.00	0.00	-0.01
1578925074.0920	-0.01	0.00	-0.03	-0.01
1578925074.0962	-0.01	0.00	-0.01	-0.01
1578925074.0992	-0.01	0.00	-0.01	-0.01
1578925074.1017	-0.01	-0.01	-0.01	-0.01
1578925075.0894	-0.06	-0.01	MAX31856 thermocouple test
1578925075.0993	Thermocouple 1 type: Unknown
1578925075.1040	Thermocouple 2 type: B Type
1578925075.1090	Thermocouple 3 type: B Type
1578925075.1138	Thermocouple 4 type: Unknown
1578925075.1144	
1578925075.1462	-0.12	-0.01	-0.01	-0.01
1578925075.1945	-0.01	-0.01	0.00	-0.01
1578925075.2445	-0.01	-0.01	0.00	-0.01
1578925075.2884	-0.01	0.00	0.00	-0.01
1578925075.3385	-0.01	0.00	0.00	-0.01
1578925075.3868	-0.01	0.00	-0.01	-0.01
1578925075.4367	-0.01	0.00	-0.01	-0.01
1578925075.4816	-0.01	-0.01	-0.01	-0.01
1578925075.5303	-0.02	-0.01	-0.01	-0.01
1578925075.5798	-4.00	-0.01	0.00	-0.01
1578925075.6285	-0.01	-0.01	0.00	-0.01
1578925075.6770	-0.01	31.99	0.00	-0.01
1578925075.7238	-0.01	0.00	0.00	-0.01
1578925075.7741	-0.01	0.00	-0.01	-0.01
1578925075.8176	-0.01	0.00	-0.01	-0.01
1578925075.8676	-0.01	-0.01	-0.01	-0.01
1578925075.9159	-0.01	-0.01	-0.01	-0.01
1578925075.9648	-0.50	-0.01	-0.01	-0.01
1578925076.0097	-0.01	-0.01	0.00	-0.01
1578925076.0595	-0.01	-0.01	0.00	-0.01
1578925076.1089	-0.01	0.00	0.00	-0.01
1578925076.1568	-0.01	0.00	0.00	-0.01
1578925076.2024	-0.01	0.00	-0.01	-0.01
1578925076.2517	-0.01	0.00	-0.01	-0.01
1578925076.3000	-0.01	-0.01	-0.01	-0.01
1578925076.3489	-0.06	-0.01	-0.01	-0.01
1578925076.3948	-4.00	-0.01	0.00	-0.01
1578925076.4438	-0.01	-0.01	0.00	-0.01
1578925076.4930	-0.01	3.99	0.00	-0.01
1578925076.5387	-0.01	0.00	0.00	-0.01
1578925076.5867	-0.01	0.00	-0.01	-0.01
1578925076.6368	-0.01	0.00	-0.01	-0.01
1578925076.6857	-0.01	-0.01	-0.01	-0.01
1578925076.7300	-0.01	-0.01	-0.01	-0.01
1578925076.7805	-1.00	-0.01	31.99	-0.01
1578925076.8282	-0.01	-0.01	0.00	-0.01
1578925076.8783	-0.01	-0.01	0.00	-0.01
1578925076.9230	-0.01	0.00	0.00	-0.01
1578925076.9717	-0.01	0.00	0.00	-0.01
1578925077.0219	-0.01	0.00	-0.01	-0.01
1578925077.0672	-0.01	0.00	-0.01	-0.01
1578925077.1157	-0.01	-0.01	-0.01	-0.01
1578925077.1650	-0.06	-0.01	-0.01	-0.01
1578925077.2138	-4.00	-0.01	0.00	-0.01
1578925077.2587	-0.01	-0.01	0.00	-0.01
1578925077.3084	-0.01	0.49	0.00	-0.01
1578925077.3567	-0.01	0.00	0.00	-0.01
1578925077.4064	-0.01	0.00	-0.01	-0.01
1578925077.4523	-0.01	0.00	-0.01	-0.01
1578925077.5007	-0.01	-0.01	-0.01	-0.01
1578925077.5507	-0.01	-0.01	-0.01	-0.01
1578925077.5983	-1.00	-0.01	0.24	-0.01
1578925077.6438	-0.01	-0.01	0.00	-0.01
1578925077.6935	-0.01	-0.01	0.00	-0.01
1578925077.7422	-0.01	0.00	0.00	-0.01
1578925077.7875	-0.01	0.00	-1.00	-0.01
1578925077.8370	-0.01	0.00	-0.01	-0.01
1578925077.8860	-0.01	0.00	-0.01	-0.01
1578925077.9352	-0.01	-0.01	-0.01	-0.01
1578925077.9806	-0.06	-0.01	-0.01	-0.01
1578925078.0289	-0.03	-0.01	0.00	-0.01
1578925078.0785	-0.01	-0.01	0.00	-0.01
